,12,24,36,60,84,120,180,240,300,348
48,0.651,0.619,0.651,0.619,0.619,0.667,0.587,0.571,0.571,0.587
49,0.603,0.619,0.635,0.667,0.635,0.651,0.635,0.635,0.571,0.571
50,0.556,0.651,0.635,0.667,0.683,0.667,0.651,0.667,0.667,0.635
51,0.603,0.571,0.587,0.603,0.587,0.571,0.587,0.571,0.524,0.54
52,0.651,0.714,0.683,0.651,0.651,0.651,0.651,0.635,0.619,0.603
53,0.603,0.794,0.714,0.619,0.635,0.619,0.651,0.635,0.635,0.635
54,0.492,0.619,0.683,0.651,0.635,0.635,0.587,0.603,0.587,0.54
55,0.587,0.571,0.635,0.667,0.635,0.651,0.603,0.587,0.587,0.571
56,0.556,0.603,0.635,0.667,0.651,0.667,0.603,0.587,0.619,0.635
57,0.508,0.667,0.667,0.667,0.619,0.619,0.603,0.619,0.587,0.587
58,0.587,0.524,0.571,0.587,0.587,0.603,0.603,0.603,0.571,0.556
59,0.571,0.556,0.524,0.524,0.556,0.556,0.587,0.524,0.492,0.492
60,0.524,0.698,0.683,0.587,0.587,0.587,0.587,0.587,0.619,0.603
61,0.508,0.571,0.619,0.587,0.587,0.587,0.571,0.54,0.587,0.587
62,0.524,0.651,0.683,0.635,0.603,0.651,0.683,0.683,0.683,0.683
63,0.635,0.524,0.571,0.587,0.587,0.603,0.603,0.587,0.587,0.556
64,0.556,0.619,0.603,0.635,0.587,0.667,0.603,0.571,0.556,0.556
65,0.444,0.492,0.508,0.587,0.571,0.571,0.619,0.619,0.587,0.587
66,0.651,0.651,0.667,0.651,0.587,0.619,0.619,0.619,0.571,0.619
67,0.556,0.508,0.524,0.603,0.635,0.635,0.603,0.603,0.524,0.54
68,0.508,0.667,0.683,0.667,0.667,0.619,0.667,0.667,0.667,0.651
69,0.571,0.587,0.587,0.587,0.587,0.571,0.571,0.556,0.603,0.619
70,0.571,0.619,0.603,0.635,0.667,0.651,0.683,0.667,0.635,0.619
71,0.571,0.603,0.667,0.683,0.651,0.667,0.556,0.587,0.587,0.571
72,0.54,0.698,0.762,0.698,0.667,0.683,0.683,0.651,0.635,0.635
73,0.524,0.571,0.587,0.587,0.587,0.635,0.683,0.667,0.651,0.635
74,0.746,0.73,0.698,0.651,0.619,0.651,0.651,0.635,0.651,0.635
75,0.667,0.603,0.587,0.603,0.619,0.635,0.619,0.587,0.571,0.587
76,0.571,0.651,0.683,0.635,0.619,0.603,0.651,0.619,0.619,0.587
77,0.635,0.635,0.635,0.667,0.667,0.667,0.667,0.683,0.619,0.635
78,0.635,0.603,0.635,0.587,0.635,0.698,0.667,0.635,0.587,0.619
79,0.587,0.635,0.603,0.635,0.635,0.667,0.651,0.651,0.635,0.635
80,0.556,0.683,0.667,0.667,0.635,0.667,0.587,0.54,0.54,0.54
81,0.556,0.619,0.651,0.603,0.54,0.571,0.571,0.556,0.556,0.556
82,0.571,0.524,0.667,0.683,0.651,0.603,0.587,0.556,0.556,0.54
83,0.619,0.587,0.651,0.651,0.698,0.667,0.698,0.683,0.651,0.651
84,0.571,0.587,0.603,0.492,0.492,0.524,0.524,0.556,0.556,0.556
85,0.667,0.667,0.667,0.619,0.587,0.683,0.73,0.73,0.73,0.714
