,12,24,36,60,84,120,180,240,300,348
41,0.524,0.508,0.571,0.619,0.635,0.619,0.556,0.556,0.603,0.587
42,0.603,0.619,0.619,0.619,0.603,0.667,0.714,0.683,0.651,0.635
43,0.524,0.619,0.635,0.571,0.571,0.556,0.603,0.571,0.619,0.619
44,0.46,0.508,0.556,0.635,0.603,0.603,0.556,0.571,0.603,0.603
45,0.651,0.54,0.571,0.54,0.54,0.587,0.619,0.508,0.524,0.508
46,0.683,0.54,0.556,0.587,0.571,0.587,0.603,0.619,0.556,0.54
47,0.778,0.651,0.635,0.587,0.571,0.619,0.667,0.635,0.54,0.524
48,0.667,0.635,0.635,0.587,0.587,0.635,0.587,0.571,0.587,0.603
49,0.603,0.635,0.651,0.667,0.667,0.667,0.635,0.603,0.587,0.603
50,0.524,0.651,0.619,0.683,0.683,0.667,0.651,0.651,0.667,0.667
51,0.603,0.619,0.619,0.571,0.603,0.587,0.619,0.587,0.54,0.54
52,0.635,0.698,0.683,0.651,0.635,0.651,0.667,0.635,0.635,0.635
53,0.54,0.762,0.762,0.635,0.651,0.651,0.651,0.635,0.667,0.651
54,0.54,0.587,0.651,0.619,0.587,0.635,0.587,0.571,0.571,0.556
55,0.571,0.603,0.635,0.683,0.683,0.635,0.587,0.571,0.571,0.556
56,0.524,0.635,0.619,0.635,0.635,0.651,0.619,0.571,0.667,0.635
57,0.524,0.683,0.651,0.651,0.635,0.587,0.619,0.587,0.587,0.603
58,0.54,0.508,0.587,0.571,0.587,0.619,0.619,0.619,0.603,0.556
59,0.619,0.556,0.524,0.508,0.571,0.54,0.571,0.524,0.524,0.492
60,0.556,0.683,0.651,0.603,0.524,0.587,0.587,0.619,0.651,0.635
61,0.524,0.587,0.619,0.571,0.603,0.556,0.587,0.556,0.587,0.587
62,0.524,0.635,0.651,0.651,0.635,0.651,0.683,0.667,0.683,0.683
63,0.603,0.571,0.571,0.571,0.571,0.619,0.603,0.603,0.619,0.619
64,0.571,0.619,0.587,0.619,0.587,0.667,0.635,0.587,0.54,0.54
65,0.508,0.54,0.524,0.54,0.571,0.587,0.587,0.587,0.556,0.571
66,0.619,0.651,0.635,0.635,0.571,0.619,0.619,0.619,0.603,0.603
67,0.524,0.508,0.556,0.603,0.619,0.619,0.619,0.587,0.524,0.54
68,0.556,0.683,0.651,0.667,0.619,0.603,0.667,0.603,0.619,0.603
69,0.571,0.54,0.587,0.587,0.603,0.571,0.571,0.571,0.603,0.603
70,0.587,0.635,0.635,0.683,0.698,0.651,0.667,0.667,0.635,0.635
71,0.556,0.587,0.603,0.683,0.667,0.635,0.571,0.556,0.587,0.571
72,0.508,0.683,0.778,0.683,0.651,0.714,0.683,0.651,0.635,0.635
73,0.556,0.619,0.587,0.619,0.603,0.635,0.714,0.683,0.667,0.651
74,0.714,0.714,0.667,0.651,0.651,0.667,0.651,0.635,0.651,0.635
75,0.651,0.603,0.603,0.619,0.619,0.651,0.635,0.603,0.571,0.587
76,0.492,0.651,0.651,0.651,0.635,0.603,0.635,0.603,0.635,0.603
77,0.587,0.619,0.635,0.651,0.651,0.683,0.683,0.667,0.603,0.619
78,0.571,0.587,0.619,0.603,0.619,0.651,0.683,0.635,0.587,0.571
79,0.635,0.651,0.619,0.619,0.635,0.635,0.635,0.651,0.603,0.603
80,0.587,0.683,0.635,0.635,0.587,0.651,0.571,0.54,0.556,0.587
81,0.571,0.635,0.651,0.571,0.524,0.619,0.587,0.571,0.54,0.54
82,0.603,0.524,0.635,0.698,0.698,0.619,0.603,0.556,0.556,0.524
83,0.587,0.571,0.635,0.635,0.698,0.683,0.698,0.698,0.651,0.651
84,0.556,0.571,0.571,0.508,0.492,0.524,0.556,0.54,0.54,0.556
85,0.587,0.635,0.667,0.571,0.556,0.698,0.714,0.73,0.714,0.714
86,0.508,0.571,0.587,0.635,0.571,0.603,0.603,0.603,0.587,0.571
87,0.587,0.619,0.619,0.587,0.587,0.635,0.619,0.635,0.619,0.619
88,0.571,0.571,0.571,0.603,0.635,0.619,0.619,0.603,0.603,0.571
89,0.571,0.556,0.571,0.651,0.635,0.651,0.603,0.603,0.556,0.571
90,0.571,0.571,0.571,0.635,0.667,0.603,0.683,0.635,0.698,0.683
91,0.603,0.524,0.508,0.556,0.556,0.587,0.635,0.619,0.635,0.635
92,0.571,0.619,0.651,0.667,0.714,0.73,0.683,0.635,0.619,0.603
93,0.508,0.556,0.603,0.635,0.651,0.619,0.571,0.524,0.54,0.571
94,0.556,0.651,0.667,0.651,0.635,0.667,0.698,0.683,0.603,0.587
95,0.667,0.556,0.54,0.54,0.54,0.571,0.603,0.556,0.571,0.587
96,0.556,0.508,0.54,0.54,0.571,0.54,0.603,0.556,0.571,0.571
97,0.619,0.603,0.635,0.635,0.651,0.651,0.619,0.556,0.587,0.556
98,0.603,0.587,0.619,0.651,0.619,0.619,0.587,0.587,0.556,0.571
99,0.54,0.54,0.556,0.603,0.603,0.603,0.524,0.524,0.54,0.556
100,0.587,0.571,0.571,0.587,0.619,0.619,0.603,0.635,0.667,0.667
101,0.603,0.635,0.667,0.619,0.619,0.667,0.651,0.619,0.619,0.619
102,0.587,0.603,0.571,0.492,0.524,0.587,0.587,0.524,0.603,0.603
103,0.571,0.603,0.587,0.619,0.603,0.571,0.54,0.54,0.508,0.556
104,0.571,0.651,0.683,0.603,0.635,0.603,0.651,0.683,0.635,0.635
105,0.508,0.556,0.571,0.683,0.714,0.698,0.683,0.667,0.667,0.635
106,0.603,0.571,0.571,0.556,0.524,0.635,0.619,0.587,0.508,0.508
107,0.556,0.667,0.683,0.667,0.667,0.651,0.635,0.651,0.651,0.651
108,0.619,0.635,0.556,0.571,0.587,0.619,0.667,0.635,0.635,0.651
109,0.619,0.54,0.508,0.587,0.571,0.571,0.556,0.524,0.508,0.508
110,0.524,0.587,0.587,0.619,0.683,0.651,0.571,0.571,0.587,0.571
111,0.524,0.556,0.651,0.698,0.667,0.698,0.619,0.651,0.651,0.635
112,0.635,0.603,0.651,0.571,0.619,0.667,0.587,0.571,0.54,0.54
113,0.556,0.619,0.619,0.698,0.667,0.619,0.556,0.556,0.587,0.571
114,0.619,0.587,0.603,0.524,0.524,0.571,0.619,0.635,0.571,0.587
115,0.619,0.571,0.619,0.667,0.667,0.651,0.603,0.603,0.54,0.54
116,0.508,0.683,0.698,0.714,0.667,0.698,0.651,0.73,0.714,0.746
