,level,fly,bf
498,0.635,0.651,0.492
499,0.556,0.571,0.54
500,0.683,0.556,0.492
501,0.651,0.444,0.524
502,0.603,0.524,0.508
503,0.603,0.635,0.365
504,0.571,0.619,0.429
505,0.556,0.603,0.476
506,0.556,0.587,0.46
507,0.635,0.476,0.413
508,0.683,0.619,0.492
509,0.587,0.556,0.444
510,0.667,0.619,0.476
511,0.667,0.651,0.444
512,0.587,0.587,0.444
513,0.524,0.46,0.429
514,0.651,0.651,0.413
515,0.683,0.524,0.476
516,0.603,0.476,0.46
517,0.571,0.587,0.444
518,0.587,0.556,0.476
519,0.635,0.556,0.46
520,0.619,0.492,0.413
521,0.603,0.619,0.476
522,0.571,0.603,0.46
523,0.73,0.556,0.444
524,0.508,0.524,0.444
525,0.571,0.619,0.492
526,0.73,0.603,0.444
527,0.698,0.619,0.508
528,0.667,0.698,0.413
529,0.587,0.651,0.429
530,0.492,0.683,0.492
531,0.635,0.635,0.413
532,0.603,0.556,0.492
533,0.698,0.571,0.46
534,0.587,0.587,0.476
535,0.698,0.508,0.508
536,0.619,0.54,0.429
537,0.635,0.73,0.508
538,0.54,0.508,0.381
539,0.651,0.651,0.429
540,0.762,0.619,0.444
541,0.587,0.651,0.476
542,0.603,0.571,0.444
543,0.619,0.587,0.46
544,0.603,0.635,0.429
545,0.619,0.619,0.54
546,0.635,0.746,0.476
547,0.651,0.714,0.429
548,0.667,0.667,0.413
549,0.667,0.571,0.508
550,0.54,0.587,0.476
551,0.571,0.619,0.365
552,0.603,0.556,0.46
553,0.571,0.619,0.46
554,0.667,0.651,0.54
555,0.635,0.619,0.508
556,0.556,0.54,0.476
557,0.714,0.556,0.46
558,0.73,0.635,0.476
559,0.698,0.54,0.413
560,0.635,0.556,0.444
561,0.571,0.54,0.46
562,0.556,0.587,0.444
563,0.587,0.651,0.429
564,0.524,0.524,0.381
565,0.603,0.651,0.444
566,0.651,0.54,0.413
567,0.651,0.587,0.444
568,0.587,0.556,0.508
569,0.714,0.571,0.46
570,0.651,0.524,0.476
571,0.603,0.476,0.508
572,0.619,0.587,0.397
573,0.651,0.603,0.508
574,0.587,0.587,0.508
575,0.587,0.508,0.429
576,0.619,0.54,0.524
577,0.556,0.667,0.381
578,0.651,0.73,0.492
579,0.667,0.651,0.476
