,level,fly,bf
400,0.603,0.619,0.524
401,0.651,0.603,0.46
402,0.683,0.619,0.524
403,0.571,0.571,0.492
404,0.667,0.524,0.492
405,0.556,0.651,0.524
406,0.603,0.54,0.524
407,0.603,0.571,0.587
408,0.635,0.54,0.524
409,0.619,0.556,0.476
410,0.698,0.54,0.476
411,0.683,0.571,0.46
412,0.635,0.619,0.476
413,0.619,0.54,0.524
414,0.571,0.508,0.492
415,0.556,0.524,0.556
416,0.619,0.556,0.429
417,0.619,0.587,0.508
418,0.603,0.619,0.46
419,0.571,0.524,0.492
420,0.619,0.651,0.524
421,0.556,0.492,0.429
422,0.524,0.603,0.524
423,0.54,0.508,0.508
424,0.635,0.603,0.46
425,0.556,0.714,0.524
426,0.683,0.587,0.492
427,0.698,0.556,0.413
428,0.556,0.492,0.46
429,0.651,0.635,0.444
430,0.667,0.587,0.444
431,0.619,0.556,0.444
432,0.698,0.73,0.444
433,0.603,0.556,0.444
434,0.587,0.508,0.476
435,0.667,0.651,0.492
436,0.698,0.683,0.54
437,0.492,0.571,0.524
438,0.556,0.587,0.492
439,0.54,0.635,0.476
440,0.492,0.635,0.476
441,0.492,0.524,0.54
442,0.603,0.587,0.397
443,0.635,0.603,0.46
444,0.524,0.667,0.46
445,0.762,0.556,0.492
446,0.603,0.54,0.429
447,0.667,0.587,0.46
448,0.635,0.635,0.508
449,0.667,0.635,0.508
450,0.587,0.603,0.476
451,0.571,0.587,0.413
452,0.635,0.587,0.397
453,0.619,0.54,0.508
454,0.571,0.603,0.46
455,0.635,0.54,0.476
456,0.508,0.587,0.492
457,0.635,0.587,0.46
458,0.603,0.603,0.492
459,0.571,0.635,0.492
460,0.667,0.492,0.54
461,0.619,0.54,0.492
462,0.603,0.571,0.476
463,0.556,0.508,0.365
464,0.476,0.556,0.444
465,0.651,0.619,0.444
466,0.556,0.635,0.556
467,0.619,0.54,0.46
468,0.587,0.587,0.444
469,0.683,0.508,0.476
470,0.619,0.556,0.476
471,0.587,0.619,0.381
472,0.698,0.508,0.444
473,0.556,0.508,0.397
474,0.571,0.492,0.476
475,0.698,0.667,0.46
476,0.603,0.54,0.444
477,0.651,0.698,0.524
478,0.619,0.667,0.508
479,0.571,0.556,0.476
480,0.587,0.603,0.476
481,0.524,0.508,0.413
482,0.476,0.54,0.492
483,0.603,0.571,0.508
484,0.651,0.698,0.413
485,0.54,0.54,0.444
486,0.683,0.524,0.508
487,0.635,0.603,0.413
488,0.571,0.619,0.413
489,0.667,0.619,0.429
490,0.683,0.571,0.508
491,0.635,0.635,0.508
492,0.587,0.556,0.46
493,0.556,0.556,0.524
494,0.651,0.651,0.619
495,0.587,0.524,0.556
496,0.683,0.556,0.476
497,0.651,0.476,0.508
498,0.635,0.619,0.524
499,0.587,0.587,0.508
500,0.635,0.651,0.524
501,0.651,0.508,0.508
502,0.603,0.524,0.492
503,0.619,0.683,0.381
504,0.571,0.587,0.46
505,0.571,0.651,0.429
506,0.571,0.54,0.46
507,0.635,0.476,0.492
508,0.619,0.619,0.413
509,0.587,0.571,0.492
510,0.667,0.683,0.556
511,0.667,0.667,0.429
512,0.587,0.698,0.46
513,0.524,0.413,0.46
514,0.651,0.714,0.429
515,0.683,0.54,0.476
516,0.587,0.54,0.476
517,0.54,0.603,0.46
518,0.603,0.54,0.524
519,0.635,0.619,0.429
520,0.603,0.492,0.381
521,0.603,0.619,0.476
522,0.571,0.571,0.492
523,0.714,0.54,0.46
524,0.54,0.524,0.508
525,0.587,0.651,0.524
526,0.714,0.587,0.46
527,0.667,0.587,0.492
528,0.651,0.683,0.413
529,0.603,0.619,0.397
530,0.476,0.683,0.571
531,0.651,0.603,0.413
532,0.635,0.571,0.571
533,0.714,0.619,0.46
534,0.603,0.556,0.46
535,0.683,0.508,0.524
536,0.603,0.508,0.444
